plant_id,name_prod,lon,lat,Plant_CO_MEAN,Plant_NO2_MEAN,Plant_SO2_MEAN,Plant_O3_MEAN,Plant_PM10_MEAN,Plant_PM2_5_MEAN,Plant_LSTT_MEAN,Plant_LSTA_MEAN,Plant_NTL_MEAN,year,month
77,石横特钢,116.533981,36.229201,0.0504958164016833,7.224281458808784e-05,-3.0406057057197247e-05,0.1389432335904923,0.6391376973423446,52.77538221118532,309.8015945582283,297.653313223046,3.2399829999795275,2019,7
78,联鑫钢铁,120.774892,33.211332,0.046628882437083,4.6257844525785554e-05,-0.0001093340276971,0.1360676499870513,1.2463471349071944,34.22593574251183,303.8335080443484,296.75042602681367,2.093787142110473,2019,7
79,荣程钢铁,117.495794,38.970638,0.0605213754556898,0.0001369792565471,4.333636292378653e-05,0.1429429515581837,0.8393402131509076,46.30230372910143,308.5982699038249,298.3828961267722,8.9614993104087,2019,7
80,萍钢股份,116.27527,29.778431,0.0432844743036996,4.580810968138739e-05,8.088731719956647e-05,0.1303227942212866,0.4826519824451408,32.30661396063645,303.48609524052733,300.0296322060489,1.837526968487168,2019,7
81,衢州元立,118.848341,28.902581,0.0382926237782022,4.1702289678523513e-05,0.0002780958947683,0.1293207664634822,0.5493688152740948,24.08013521915109,306.83994206418447,298.0884298809355,5.760644596117553,2019,7
82,裕华钢铁,114.098377,36.731752,0.0722139403163408,0.0001565873492253,4.931401044584044e-05,0.1386329210136716,0.5830261444284862,62.86651263359886,314.61863740899065,297.4824938566809,2.676344696055238,2019,7
83,西宁特钢,101.671414,36.66856,0.0352140379056713,5.174087228688763e-05,0.0001306265307845,0.1289382589794635,0.2969584502144778,39.347945346435154,301.26392509836575,284.8133219820991,8.309505613246582,2019,7
84,贵港桂宝,109.63938,23.089502,0.0331446471621961,3.390054819658576e-05,-6.476222632519176e-05,0.1253698997238593,0.5924575708777924,22.989052361963463,305.0150693571994,298.3732204438261,4.971204082792957,2019,7
85,辛集澳森,115.184798,37.752351,0.0581620398671944,8.121662804789624e-05,0.0001032348231626,0.1417082599750762,0.6641290839305386,66.24915727115877,309.0902064869399,296.87073535505647,1.33058260549299,2019,7
86,达州钢铁,107.453099,31.18945,0.0417862678404678,4.973848169195391e-05,-4.286700648411122e-05,0.1290970757797848,0.4377083928616735,48.64592638447657,303.8907040899232,296.1407385890548,5.90411707324491,2019,7
87,迁安九江线材,118.563418,39.95945,0.0684691061333787,0.0001199632710659,0.0002398237428731,0.1428456557462547,0.7317800661314424,57.96080801207807,306.8294325874808,296.6969661527262,3.473426088308007,2019,7
88,通钢,126.022349,41.779125,0.0471791281315622,3.59837026308741e-05,8.335900753310395e-05,0.1436796658866277,0.3733717287069456,22.326940296579775,299.80195797200577,292.7712973939935,1.9623507433104996,2019,7
89,邢台钢铁,114.452352,37.041601,0.0593060467170211,0.0001214243019006,8.206550484112959e-05,0.1401674765029264,0.7772859496169345,70.94042331345918,312.490304949952,298.64410399519625,7.407603231139458,2019,7
90,邯郸中普,113.928977,36.711757,0.0722800358117874,0.000148698683248,0.0001837062870627,0.1381731128726948,0.5073081888498645,63.34011722550724,313.08138151724694,296.215822419224,1.2008529166590598,2019,7
91,酒泉钢铁,98.286265,39.807065,0.0292755494682251,4.008696073434242e-05,6.037306775308034e-05,0.1341154845147914,0.241485617351341,41.57750773978426,314.9863060244868,292.41278804042696,5.670945964969909,2019,7
92,重钢集团,107.040368,29.790253,0.04234588304034,7.673723204084512e-05,-9.48140272888422e-06,0.1283216189224736,0.4039687155470293,48.637560400746544,304.848999939303,297.82308302424866,6.601375584640552,2019,7
93,金鼎重工,114.111677,36.718952,0.0721371780915334,0.0001559847731615,4.201157068312328e-05,0.1386881357747734,0.5901782624165478,63.350785821303866,314.8691437072389,297.6447455188003,3.0750877203118137,2019,7
94,铜陵富鑫,117.772866,30.907561,0.0434230858408246,6.207089274363883e-05,0.0002136344489964,0.1317177545571311,0.5805041598293232,37.290540628946026,304.0936333592835,297.13819811891256,5.948744068987464,2019,7
95,陕西略钢,106.167206,33.323678,0.0348938316115678,2.069725703728089e-05,4.411220517980095e-05,0.1293055690769104,0.2146678209624252,27.9559544786526,298.0288667527571,292.4493770233844,0.608877096797272,2019,7
