Spec,Variant,city,n_plants,n_obs,R2_log,Spearman,R2_demeaned,R2_log_relev
M3 (dist+port),Raw,Nanchang,1.0,45.0,-1.5956,0.2455,,
M3 (dist+port),Raw,Ningbo,1.0,45.0,-11.9375,-0.0285,,
M3 (dist+port),Raw,Nanyang,1.0,45.0,-1.233,0.2436,,
M3 (dist+port),Raw,Quzhou,1.0,45.0,-19.4678,-0.0982,,
M3 (dist+port),Raw,Ma'anshan,1.0,36.0,-0.0562,0.0377,,
M3 (dist+port),Raw,Liupanshui,1.0,45.0,-2.0559,0.3554,,
M3 (dist+port),Raw,Loudi,1.0,45.0,-2.8561,0.2086,,
M3 (dist+port),Raw,Shijiazhuang,1.0,32.0,-0.5974,0.088,,
M3 (dist+port),Raw,Shaoguan,1.0,45.0,-8.4911,-0.0302,,
M3 (dist+port),Raw,Rizhao,1.0,44.0,-18.0767,-0.0732,,
M3 (dist+port),Raw,Taiyuan,1.0,45.0,-33.6684,0.3993,,
M3 (dist+port),Raw,Tongling,1.0,44.0,-0.876,0.1966,,
M3 (dist+port),Raw,Weifang,1.0,44.0,-9.2714,0.2332,,
M3 (dist+port),Raw,Tongchun District,1.0,45.0,-80.1995,0.2161,,
M3 (dist+port),Raw,Tonghua,1.0,45.0,-5.0738,0.0399,,
M3 (dist+port),Raw,Wuxi,1.0,45.0,-1.1223,0.3578,,
M3 (dist+port),Raw,Wuhu,1.0,6.0,-698.4902,0.5429,,
M3 (dist+port),Raw,Xinyang,1.0,45.0,-5.7949,0.0728,,
M3 (dist+port),Raw,Xining,1.0,44.0,-1.0003,0.0191,,
M3 (dist+port),Raw,Yancheng,1.0,45.0,-0.9335,0.4036,,
M3 (dist+port),Raw,Yichun,1.0,45.0,-6.6602,0.0896,,
M3 (dist+port),Raw,Yingkou,1.0,45.0,-6.9971,0.4252,,
M3 (dist+port),Raw,Yuncheng,1.0,28.0,-2.0276,0.0257,,
M3 (dist+port),Raw_summary_multi,MULTI_SUMMARY,,,-1.7518467917077987,-0.10452053307008884,,
M3 (dist+port),Raw_summary_single,SINGLE_SUMMARY,,,-20.986183975346687,0.19205731895223419,,
M3 (dist+port),Demeaned,Tangshan,6.0,255.0,,0.9935,0.9705,0.9705
M3 (dist+port),Demeaned,Handan,5.0,224.0,,0.9575,0.6826,0.6826
M3 (dist+port),Demeaned,Linfen,3.0,118.0,,0.9765,0.8431,0.8431
M3 (dist+port),Demeaned,Suzhou,2.0,90.0,,0.9935,0.9928,0.9928
M3 (dist+port),Demeaned,Qinhuangdao,2.0,75.0,,0.9747,0.9403,0.9403
M3 (dist+port),Demeaned,Jinan,2.0,90.0,,0.9788,0.9538,0.9538
M3 (dist+port),Demeaned,Yuxi,2.0,90.0,,0.9903,0.9406,0.9406
M3 (dist+port),Demeaned,Xingtai,2.0,71.0,,0.9352,0.8555,0.8555
M3 (dist+port),Demeaned,Chaoyang,1.0,45.0,,0.9914,0.9845,0.9845
M3 (dist+port),Demeaned,Changzhi,1.0,45.0,,0.9663,0.8561,0.8561
M3 (dist+port),Demeaned,Dongli District,1.0,45.0,,0.9704,0.9379,0.9379
M3 (dist+port),Demeaned,Ezhou,1.0,45.0,,0.9742,0.9334,0.9334
